global_map_order,event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
1,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,1,1,Personate Gang,RTFM,RTFM,Personate Gang,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
2,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,1,2,Personate Gang,RTFM,RTFM,Personate Gang,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
3,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,1,3,Personate Gang,RTFM,RTFM,Personate Gang,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
4,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,2,1,Bleed Esports,Fade Altair,Bleed Esports,Fade Altair,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
5,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,2,2,Bleed Esports,Fade Altair,Bleed Esports,Fade Altair,Hollywood,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
6,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 1,Day 1,2024-02-29,2,3,Bleed Esports,Fade Altair,Bleed Esports,Fade Altair,New Queen Street,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
7,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,3,1,Far East Society,321 Diving,Far East Society,321 Diving,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
8,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,3,2,Far East Society,321 Diving,Far East Society,321 Diving,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
9,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,3,3,Far East Society,321 Diving,Far East Society,321 Diving,Esperança,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
10,owcs_2024_asia_s1_pacific,pacific,2024,Stage 1,Week 2,Day 2,2024-03-07,4,1,Teenage Rising,99DIVINE,99DIVINE,Teenage Rising,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2024/Asia/Stage_1/Pacific,liquipedia_scraper_draft
