global_map_order,event_id,event_region,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
1,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,1,1,VortexWolf,Inferno (Japanese team),VortexWolf,Inferno (Japanese team),Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
2,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,1,2,VortexWolf,Inferno (Japanese team),VortexWolf,Inferno (Japanese team),Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
3,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,1,3,VortexWolf,Inferno (Japanese team),VortexWolf,Inferno (Japanese team),Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
4,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,2,1,Insomnia (Japanese team),Aplomb Tiger,Aplomb Tiger,Insomnia (Japanese team),Oasis,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
5,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,2,2,Insomnia (Japanese team),Aplomb Tiger,Aplomb Tiger,Insomnia (Japanese team),Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
6,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,2,3,Insomnia (Japanese team),Aplomb Tiger,Aplomb Tiger,Insomnia (Japanese team),Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
7,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,3,1,Nyam Gaming,VARREL,Nyam Gaming,VARREL,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
8,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,3,2,Nyam Gaming,VARREL,VARREL,Nyam Gaming,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
9,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,3,3,Nyam Gaming,VARREL,Nyam Gaming,VARREL,King's Row,Hybrid,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
10,owcs_2025_asia_s1_japan,japan,2025,Stage 1,Week 1,January 27,2025-01-27,3,4,Nyam Gaming,VARREL,VARREL,Nyam Gaming,Esperança,Push,bo5,https://liquipedia.net/overwatch/index.php?title=Overwatch_Champions_Series/2025/Asia/Stage_1/Japan/Regular_Season,group_stage_scrape
