rank,team,elo,home_region,maps_played,maps_won,maps_lost,maps_drawn,win_pct,first_event,last_event
50,Quick Esports,1389.8,EMEA,29,13,16,0,44.8%,owcs_2024_emea_s1_groups,owcs_2024_emea_s4_groups
51,Timeless Ethereal,1388.8,NA,16,7,9,0,43.8%,owcs_2024_na_s3_groups,owcs_2024_na_s3_main
52,Ex Oblivione,1386.3,EMEA,63,32,31,0,50.8%,owcs_2024_emea_s1_groups,owcs_2024_emea_s4_groups
53,UNC INC,1384.3,NA,12,5,7,0,41.7%,owcs_2024_na_s2_groups,owcs_2024_na_s2_groups
54,Ramattra Punch,1382.3,NA,13,5,8,0,38.5%,owcs_2024_na_s4_groups,owcs_2024_na_s4_groups
55,REVATI X NTMR,1381.0,Japan,8,4,4,0,50.0%,owcs_2024_asia_s2_japan,owcs_2024_asia_s2_japan
56,Cat,1380.3,Pacific,10,4,6,0,40.0%,owcs_2024_asia_s2_pacific,owcs_2024_asia_s2_pacific
57,nu.age,1377.5,EMEA,10,4,6,0,40.0%,owcs_2024_emea_s1_groups,owcs_2024_emea_s1_groups
58,Deimpero,1373.0,EMEA,18,7,11,0,38.9%,owcs_2024_emea_s2_groups,owcs_2024_emea_s2_main
59,Who is Goldfish,1372.2,NA,16,6,10,0,37.5%,owcs_2024_na_s2_groups,owcs_2024_na_s2_main
60,Nyam Gaming,1370.3,Japan,81,26,55,0,32.1%,owcs_2024_asia_s1_japan,owcs_2024_asia_s2_main
61,Citrus Nightmare,1369.9,NA,24,10,14,0,41.7%,owcs_2024_na_s3_groups,owcs_2024_na_s3_main
62,Timeless Obsidian,1368.5,NA,9,3,6,0,33.3%,owcs_2024_na_s1_groups,owcs_2024_na_s1_groups
63,LeftRightGnight,1366.4,EMEA,9,3,6,0,33.3%,owcs_2024_emea_s1_groups,owcs_2024_emea_s1_groups
64,AWW YEAH,1361.5,EMEA,48,20,28,0,41.7%,owcs_2024_emea_s1_groups,owcs_2024_emea_s3_main
65,Celtas,1359.7,EMEA,10,3,7,0,30.0%,owcs_2024_emea_s1_groups,owcs_2024_emea_s1_groups
66,Arizona State University,1359.2,NA,11,3,8,0,27.3%,owcs_2024_na_s3_groups,owcs_2024_na_s3_groups
67,REVATI,1357.8,Japan,75,36,39,0,48.0%,owcs_2024_asia_s1_japan,owcs_2024_asia_s2_japan
68,USIA Esports,1357.8,Pacific,19,6,13,0,31.6%,owcs_2024_asia_s2_pacific,owcs_2024_asia_s2_wildcard
69,Dreamland,1356.2,NA,10,3,7,0,30.0%,owcs_2024_na_s1_groups,owcs_2024_na_s1_groups
70,Beluga's Platoon,1355.2,NA,8,2,6,0,25.0%,owcs_2024_na_s1_groups,owcs_2024_na_s1_groups
71,Hypnos,1352.7,EMEA,30,10,20,0,33.3%,owcs_2024_emea_s3_groups,owcs_2024_emea_s4_groups
72,O3 Splash,1351.7,NA,8,2,6,0,25.0%,owcs_2024_na_s4_groups,owcs_2024_na_s4_groups
73,Sin Prisa Gaming,1349.7,Korea,44,17,27,0,38.6%,owcs_2024_asia_s1_korea,owcs_2024_asia_s1_korea
74,Ohana Aloha,1348.9,EMEA,6,0,6,0,0.0%,owcs_2024_emea_s3_groups,owcs_2024_emea_s3_groups
75,Team G4mbit,1348.7,EMEA,7,1,6,0,14.3%,owcs_2024_emea_s4_groups,owcs_2024_emea_s4_groups
76,EXN Zenith,1345.7,NA,7,1,6,0,14.3%,owcs_2024_na_s4_groups,owcs_2024_na_s4_groups
77,Arise Project,1345.4,Japan,37,16,21,0,43.2%,owcs_2024_asia_s1_japan,owcs_2024_asia_s1_japan
78,321 Diving,1345.2,Pacific,27,10,17,0,37.0%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s1_wildcard
79,Team Z,1343.7,NA,22,8,14,0,36.4%,owcs_2024_na_s3_groups,owcs_2024_na_s4_groups
80,Nightmare Rotation,1343.0,NA,7,1,6,0,14.3%,owcs_2024_na_s2_groups,owcs_2024_na_s2_groups
81,Fries In The Bag,1342.5,NA,7,1,6,0,14.3%,owcs_2024_na_s3_groups,owcs_2024_na_s3_groups
82,SCHMUNGUS,1341.6,EMEA,6,0,6,0,0.0%,owcs_2024_emea_s2_groups,owcs_2024_emea_s2_groups
83,Al Qadsiah,1336.8,EMEA,6,0,6,0,0.0%,owcs_2024_emea_s3_groups,owcs_2024_emea_s3_groups
84,Goon Squad,1335.6,Pacific,6,0,6,0,0.0%,owcs_2024_asia_s2_pacific,owcs_2024_asia_s2_pacific
85,Teenage Rising,1335.4,Pacific,17,5,12,0,29.4%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s2_pacific
86,BangBangPow Galaxy,1335.0,NA,6,0,6,0,0.0%,owcs_2024_na_s1_groups,owcs_2024_na_s1_groups
87,Bingus,1334.9,EMEA,6,0,6,0,0.0%,owcs_2024_emea_s1_groups,owcs_2024_emea_s1_groups
88,Visored,1334.3,NA,6,0,6,0,0.0%,owcs_2024_na_s2_groups,owcs_2024_na_s2_groups
89,Flexodiax,1333.5,EMEA,6,0,6,0,0.0%,owcs_2024_emea_s2_groups,owcs_2024_emea_s2_groups
90,Wasp X Ohhhh No,1333.4,EMEA,20,7,13,0,35.0%,owcs_2024_emea_s3_groups,owcs_2024_emea_s4_groups
91,Personate Gang,1332.8,Pacific,6,0,6,0,0.0%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s1_pacific
92,Final Gambit,1332.8,NA,6,0,6,0,0.0%,owcs_2024_na_s1_groups,owcs_2024_na_s1_groups
93,Nah I'd Win,1332.8,NA,6,0,6,0,0.0%,owcs_2024_na_s1_groups,owcs_2024_na_s1_groups
94,A-Square Tengu,1332.8,EMEA,6,0,6,0,0.0%,owcs_2024_emea_s1_groups,owcs_2024_emea_s1_groups
95,EF Flexodiax,1332.8,EMEA,6,0,6,0,0.0%,owcs_2024_emea_s1_groups,owcs_2024_emea_s1_groups
96,Sheer Cold,1312.6,EMEA,28,9,19,0,32.1%,owcs_2024_emea_s1_groups,owcs_2024_emea_s2_groups
97,RunAway,1311.4,Korea,36,15,21,0,41.7%,owcs_2024_asia_s1_korea,owcs_2024_asia_s1_korea
98,Daybreak,1309.9,NA,15,3,12,0,20.0%,owcs_2024_na_s1_groups,owcs_2024_na_s2_groups
99,AOMA Esports,1308.1,EMEA,17,4,13,0,23.5%,owcs_2024_emea_s1_groups,owcs_2024_emea_s2_groups
100,Vice (North American team),1307.5,NA,17,4,13,0,23.5%,owcs_2024_na_s2_groups,owcs_2024_na_s3_groups
101,Fade Altair,1305.8,Pacific,15,3,12,0,20.0%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s2_pacific
102,Absolution,1304.4,NA,13,1,12,0,7.7%,owcs_2024_na_s3_groups,owcs_2024_na_s4_groups
103,Tanuki Esports,1297.6,NA,14,2,12,0,14.3%,owcs_2024_na_s3_groups,owcs_2024_na_s4_groups
104,Namekuji Brothers,1295.5,Japan,79,26,53,0,32.9%,owcs_2024_asia_s1_japan,owcs_2024_asia_s2_japan
105,Miku Fan Club X Supreme,1282.3,Japan,34,11,23,0,32.4%,owcs_2024_asia_s2_japan,owcs_2024_asia_s2_japan
106,Genesis,1281.7,Korea,40,12,28,0,30.0%,owcs_2024_asia_s1_korea,owcs_2024_asia_s1_korea
107,Metaboiz,1270.3,EMEA,20,2,18,0,10.0%,owcs_2024_emea_s2_groups,owcs_2024_emea_s4_groups
108,Old Ocean,1263.5,Korea,30,6,24,0,20.0%,owcs_2024_asia_s2_korea,owcs_2024_asia_s2_korea
109,Hayabusa Gaming,1216.3,Japan,32,4,28,0,12.5%,owcs_2024_asia_s1_japan,owcs_2024_asia_s1_japan
110,VEC,1199.0,Korea,56,7,49,0,12.5%,owcs_2024_asia_s1_korea,owcs_2024_asia_s2_korea
111,Telomere,1194.0,Japan,21,0,21,0,0.0%,owcs_2024_asia_s2_japan,owcs_2024_asia_s2_japan
