rank,team,elo,home_region,maps_played,maps_won,maps_lost,maps_drawn,win_pct,first_event,last_event
1,Team Falcons,1841.6,Korea,188,123,64,1,65.8%,owcs_2024_asia_s1_korea,owcs_2024_world_finals
2,Crazy Raccoon,1781.8,Korea,170,131,38,1,77.5%,owcs_2024_asia_s1_korea,owcs_2024_world_finals
3,Toronto Defiant,1686.6,NA,145,104,41,0,71.7%,owcs_2024_na_s1_groups,owcs_2024_world_finals
4,ZETA DIVISION,1662.0,Korea,157,93,63,1,59.6%,owcs_2024_asia_s1_korea,owcs_2024_asia_s2_main
5,Spacestation Gaming,1620.4,EMEA,130,86,44,0,66.2%,owcs_2024_emea_s1_groups,owcs_2024_world_finals
6,Poker Face,1612.3,Korea,113,60,53,0,53.1%,owcs_2024_asia_s1_korea,owcs_2024_asia_s2_main
7,ENCE,1592.8,EMEA,116,74,41,1,64.3%,owcs_2024_emea_s1_main,owcs_2024_world_finals
8,Twisted Minds,1588.1,EMEA,115,67,48,0,58.3%,owcs_2024_emea_s1_groups,owcs_2024_world_finals
9,NTMR,1575.0,NA,64,39,25,0,60.9%,owcs_2024_na_s3_groups,owcs_2024_world_finals
10,VARREL,1574.0,Japan,98,76,22,0,77.6%,owcs_2024_asia_s1_japan,owcs_2024_asia_s2_wildcard
11,NRG Shock,1566.0,NA,97,57,40,0,58.8%,owcs_2024_na_s1_groups,owcs_2024_world_finals
12,Virtus.pro,1530.4,EMEA,69,39,30,0,56.5%,owcs_2024_emea_s2_groups,owcs_2024_emea_s4_main
13,M80,1525.9,NA,63,36,27,0,57.1%,owcs_2024_na_s1_groups,ewc_2024
14,Bleed Esports,1520.6,Pacific,55,32,23,0,58.2%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s2_main
15,Fluffy Aimers,1495.5,NA,24,15,9,0,62.5%,owcs_2024_na_s4_groups,owcs_2024_na_s4_main
16,Lazuli,1487.9,Japan,54,32,22,0,59.3%,owcs_2024_asia_s2_japan,owcs_2024_asia_s2_main
17,TSM,1486.4,NA,91,51,40,0,56.0%,owcs_2024_na_s1_groups,owcs_2024_na_s4_main
18,Insomnia (Japanese team),1483.2,Japan,106,60,46,0,56.6%,owcs_2024_asia_s1_japan,owcs_2024_asia_s2_japan
19,Full House,1477.9,Pacific,19,13,6,0,68.4%,owcs_2024_asia_s2_pacific,owcs_2024_asia_s2_pacific
20,Pandia,1469.1,Japan,40,26,14,0,65.0%,owcs_2024_asia_s1_japan,owcs_2024_asia_s1_japan
21,BuboSprayCheck,1467.2,EMEA,6,6,0,0,100.0%,owcs_2024_emea_s1_groups,owcs_2024_emea_s1_groups
22,99DIVINE,1465.7,Pacific,57,30,27,0,52.6%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s2_main
23,Piece of Cake,1460.3,EMEA,17,10,7,0,58.8%,owcs_2024_emea_s4_groups,owcs_2024_emea_s4_main
24,Timeless,1454.9,NA,24,14,10,0,58.3%,owcs_2024_na_s3_groups,owcs_2024_na_s3_main
25,SixBlow,1454.8,Japan,56,32,24,0,57.1%,owcs_2024_asia_s1_japan,owcs_2024_asia_s1_wildcard
26,Luminosity Gaming,1447.1,NA,37,22,15,0,59.5%,owcs_2024_na_s1_groups,owcs_2024_na_s2_main
27,Peace and Love,1437.9,EMEA,21,12,9,0,57.1%,owcs_2024_emea_s2_groups,owcs_2024_emea_s2_main
28,Fnatic,1435.4,Korea,111,54,57,0,48.6%,owcs_2024_asia_s1_korea,owcs_2024_asia_s2_korea
29,Citrus Nation,1434.7,NA,53,25,28,0,47.2%,owcs_2024_na_s1_groups,owcs_2024_na_s4_main
30,RTFM,1417.8,Pacific,14,8,6,0,57.1%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s1_pacific
31,LFO,1416.8,NA,20,11,9,0,55.0%,owcs_2024_na_s1_groups,owcs_2024_na_s1_main
32,FMCL,1411.9,NA,18,9,9,0,50.0%,owcs_2024_na_s2_groups,owcs_2024_na_s2_main
33,Vendetta (European team),1409.9,EMEA,31,14,17,0,45.2%,owcs_2024_emea_s3_groups,owcs_2024_emea_s4_main
34,Fluffy Dreamland,1403.8,NA,20,10,10,0,50.0%,owcs_2024_na_s3_groups,owcs_2024_na_s3_main
35,Shikigami,1403.6,NA,56,25,31,0,44.6%,owcs_2024_na_s1_groups,owcs_2024_na_s4_main
36,SrPeakCheck,1402.8,EMEA,35,15,20,0,42.9%,owcs_2024_emea_s3_groups,owcs_2024_emea_s4_main
37,LGD.OA,1398.6,Intl,5,1,4,0,20.0%,ewc_2024,ewc_2024
38,HaeJeokDan,1398.6,Korea,30,11,19,0,36.7%,owcs_2024_asia_s2_korea,owcs_2024_asia_s2_korea
39,Team Peps,1397.4,EMEA,75,36,39,0,48.0%,owcs_2024_emea_s1_groups,owcs_2024_emea_s4_groups
40,Pirates in Pyjamas,1396.9,NA,44,21,23,0,47.7%,owcs_2024_na_s1_groups,owcs_2024_na_s2_main
41,Supershy,1396.6,EMEA,44,21,23,0,47.7%,owcs_2024_emea_s2_groups,owcs_2024_emea_s3_main
42,YFP Gaming,1395.9,NA,10,4,6,0,40.0%,owcs_2024_na_s4_groups,owcs_2024_na_s4_groups
43,Rad x Avidity,1395.7,NA,30,12,18,0,40.0%,owcs_2024_na_s3_groups,owcs_2024_na_s4_main
44,Negative Mental Attitude,1394.7,EMEA,12,5,7,0,41.7%,owcs_2024_emea_s4_groups,owcs_2024_emea_s4_groups
45,A One Man Army,1394.0,EMEA,41,18,23,0,43.9%,owcs_2024_emea_s3_groups,owcs_2024_emea_s4_main
46,Blast OFF Buds,1393.3,NA,9,3,6,0,33.3%,owcs_2024_na_s4_groups,owcs_2024_na_s4_groups
47,DhillDucks,1393.0,NA,10,4,6,0,40.0%,owcs_2024_na_s2_groups,owcs_2024_na_s2_groups
48,Rocstars,1392.6,EMEA,23,11,12,0,47.8%,owcs_2024_emea_s1_groups,owcs_2024_emea_s2_groups
49,Far East Society,1390.8,Pacific,12,6,6,0,50.0%,owcs_2024_asia_s1_pacific,owcs_2024_asia_s1_pacific
