rank,team,elo,home_region,maps_played,maps_won,maps_lost,maps_drawn,win_pct,first_event,last_event
1,Twisted Minds,1830.0,EMEA,161,107,54,0,66.5%,owcs_2025_emea_s1,owcs_2025_world_finals
2,Crazy Raccoon,1816.8,Korea,240,173,67,0,72.1%,owcs_2025_asia_s1_korea,owcs_2025_world_finals
3,Al Qadsiah,1784.0,EMEA,161,106,55,0,65.8%,owcs_2025_emea_s1,owcs_2025_world_finals
4,Team Falcons,1782.7,Korea,229,141,88,0,61.6%,owcs_2025_asia_s1_korea,owcs_2025_world_finals
5,VARREL,1745.4,Japan,136,104,32,0,76.5%,owcs_2025_asia_s1_japan,owcs_2025_world_finals
6,Weibo Gaming,1710.3,China,93,73,20,0,78.5%,owcs_2025_china_s2,owcs_2025_world_finals
7,T1,1706.3,Korea,169,104,65,0,61.5%,owcs_2025_asia_s1_korea,owcs_2025_world_finals
8,Team Liquid,1680.2,NA,139,89,50,0,64.0%,owcs_2025_na_s1,owcs_2025_world_finals
9,Nosebleed Esports,1658.1,Pacific,114,82,32,0,71.9%,owcs_2025_asia_s1_pacific,owcs_2025_apac_championship
10,WAE,1623.9,Korea,180,89,91,0,49.4%,owcs_2025_asia_s1_korea,owcs_2025_korea_road_to_wf
11,Spacestation Gaming,1618.9,NA,148,88,60,0,59.5%,owcs_2025_na_s1,owcs_2025_world_finals
12,Once Again,1602.5,China,31,23,8,0,74.2%,owcs_2025_china_s1,owcs_2025_champions_clash
13,Geekay Esports,1602.1,NA,104,67,37,0,64.4%,owcs_2025_na_s2,owcs_2025_world_finals
14,Team CC,1590.0,China,123,74,49,0,60.2%,owcs_2025_china_s1,owcs_2025_world_finals
15,Virtus.pro,1579.3,EMEA,134,87,47,0,64.9%,owcs_2025_emea_s1,owcs_2025_emea_s3
16,REJECT,1571.3,Japan,77,51,26,0,66.2%,owcs_2025_asia_s2_japan,owcs_2025_apac_championship
17,The Gatos Guapos,1550.0,Pacific,73,46,27,0,63.0%,owcs_2025_asia_s2_pacific,owcs_2025_apac_championship
18,ROC Esports,1536.0,China,100,61,39,0,61.0%,owcs_2025_china_s1,owcs_2025_china_s3
19,ONSIDE GAMING,1529.5,Korea,126,55,71,0,43.7%,owcs_2025_asia_s1_korea,owcs_2025_korea_road_to_wf
20,ZETA DIVISION,1525.6,Korea,184,98,86,0,53.3%,owcs_2025_asia_s1_korea,owcs_2025_korea_road_to_wf
21,NTMR,1512.7,NA,131,80,51,0,61.1%,owcs_2025_na_s1,owcs_2025_na_s3
22,Timeless,1505.2,NA,37,22,15,0,59.5%,owcs_2025_na_s1,owcs_2025_na_s1
